balls,strikes,pitch_result,n,total,pct
0,0,ball,136893,364985,37.5
0,0,called_strike,110088,364985,30.2
0,0,foul,44476,364985,12.2
0,0,hbp,904,364985,0.2
0,0,in_play,41973,364985,11.5
0,0,swinging_strike,30651,364985,8.4
0,1,ball,73843,185168,39.9
0,1,called_strike,19846,185168,10.7
0,1,foul,33567,185168,18.1
0,1,hbp,551,185168,0.3
0,1,in_play,32080,185168,17.3
0,1,swinging_strike,25281,185168,13.7
0,2,ball,44366,96667,45.9
0,2,called_strike,3371,96667,3.5
0,2,foul,18185,96667,18.8
0,2,hbp,383,96667,0.4
0,2,in_play,16757,96667,17.3
0,2,swinging_strike,13605,96667,14.1
1,0,ball,45913,137066,33.5
1,0,called_strike,31928,137066,23.3
1,0,foul,22037,137066,16.1
1,0,hbp,267,137066,0.2
1,0,in_play,21653,137066,15.8
1,0,swinging_strike,15268,137066,11.1
1,1,ball,48895,142927,34.2
1,1,called_strike,15643,142927,10.9
1,1,foul,29390,142927,20.6
1,1,hbp,410,142927,0.3
1,1,in_play,28395,142927,19.9
1,1,swinging_strike,20194,142927,14.1
1,2,ball,53675,139820,38.4
1,2,called_strike,5467,139820,3.9
1,2,foul,30440,139820,21.8
1,2,hbp,533,139820,0.4
1,2,in_play,28472,139820,20.4
1,2,swinging_strike,21233,139820,15.2
2,0,ball,14058,45789,30.7
2,0,called_strike,12499,45789,27.3
2,0,foul,7478,45789,16.3
2,0,hbp,76,45789,0.2
2,0,in_play,7401,45789,16.2
2,0,swinging_strike,4277,45789,9.3
2,1,ball,21176,73088,29.0
2,1,called_strike,9282,73088,12.7
2,1,foul,16413,73088,22.5
2,1,hbp,166,73088,0.2
2,1,in_play,16242,73088,22.2
2,1,swinging_strike,9809,73088,13.4
2,2,ball,36376,118781,30.6
2,2,called_strike,5665,118781,4.8
2,2,foul,29744,118781,25.0
2,2,hbp,421,118781,0.4
2,2,in_play,28603,118781,24.1
2,2,swinging_strike,17972,118781,15.1
3,0,ball,4667,13982,33.4
3,0,called_strike,8032,13982,57.4
3,0,foul,505,13982,3.6
3,0,hbp,15,13982,0.1
3,0,in_play,548,13982,3.9
3,0,swinging_strike,215,13982,1.5
3,1,ball,8179,29890,27.4
3,1,called_strike,5358,29890,17.9
3,1,foul,6461,29890,21.6
3,1,hbp,41,29890,0.1
3,1,in_play,6640,29890,22.2
3,1,swinging_strike,3211,29890,10.7
3,2,ball,16332,71743,22.8
3,2,called_strike,4660,71743,6.5
3,2,foul,20390,71743,28.4
3,2,hbp,182,71743,0.3
3,2,in_play,20374,71743,28.4
3,2,swinging_strike,9805,71743,13.7
