balls_at_end,strikes_at_end,outcome_type,lw_raw,lw
0,0,home_run,1.525830588235294,1.7734118679752084
0,0,out_in_play,-0.24089762469467946,0.006683655045234854
0,0,single,0.42309242529534397,0.6706737050352582
0,0,walk,-0.15267123287671233,0.09491004686320198
0,1,home_run,1.5159381188118812,1.7635193985517956
0,1,out_in_play,-0.24844880054832075,-0.0008675208084064356
0,1,single,0.4317208998548622,0.6793021795947765
0,1,walk,-0.2067865168539326,0.04079476288598172
0,2,home_run,1.5326316916488223,1.7802129713887367
0,2,out_in_play,-0.24789832689832692,-0.00031704715841260334
0,2,single,0.4397206085753804,0.6873018883152947
0,2,strikeout,-0.2646349225057458,-0.01705364276583146
0,2,walk,-0.2245185185185185,0.023062761221395806
1,0,home_run,1.5377025210084034,1.7852838007483178
1,0,out_in_play,-0.24915261376976727,-0.001571334029852961
1,0,single,0.43720664542558035,0.6847879251654947
1,0,walk,-0.04853956834532375,0.19904171139459056
1,1,home_run,1.516301824212272,1.7638831039521865
1,1,out_in_play,-0.24725736779406432,0.0003239119458499917
1,1,single,0.4366804175787169,0.6842616973186312
1,1,walk,-0.18695522388059704,0.06062605585931727
1,2,home_run,1.5375726495726494,1.7851539293125638
1,2,out_in_play,-0.25024922086547796,-0.00266794112556365
1,2,single,0.4421125178034499,0.6896937975433642
1,2,strikeout,-0.26456261941332937,-0.016981339673415058
1,2,walk,-0.1988709677419355,0.04871031199797882
2,0,home_run,1.5155445344129554,1.7631258141528698
2,0,out_in_play,-0.2483443357783211,-0.0007630560384067897
2,0,single,0.44084939329050676,0.688430673030421
2,0,walk,0.09777777777777778,0.3453590575176921
2,1,home_run,1.544195652173913,1.7917769319138275
2,1,out_in_play,-0.2488464912280702,-0.001265211488155893
2,1,single,0.4404081818181818,0.6879894615580961
2,1,walk,-0.015800000000000005,0.2317812797399143
2,2,home_run,1.521620325982742,1.7692016057226565
2,2,out_in_play,-0.24978955102868144,-0.002208271288767133
2,2,single,0.44454841946813844,0.6921296992080528
2,2,strikeout,-0.264956702078131,-0.01737542233821668
2,2,walk,-0.12379365079365079,0.12378762894626352
3,0,home_run,1.5514852941176471,1.7990665738575615
3,0,out_in_play,-0.2398693009118541,0.007711978828060212
3,0,single,0.4545943396226415,0.7021756193625558
3,0,walk,0.33878872937647314,0.5863700091163875
3,1,home_run,1.5833571428571427,1.830938422597057
3,1,out_in_play,-0.2500276255707763,-0.002446345830861979
3,1,single,0.4476648773006135,0.6952461570405278
3,1,walk,0.3416236703753515,0.5892049501152659
3,2,home_run,1.5609825847846013,1.8085638645245157
3,2,out_in_play,-0.24962483612527314,-0.00204355638535883
3,2,single,0.44441592279855247,0.6919972025384667
3,2,strikeout,-0.26520163186281287,-0.017620352122898558
3,2,walk,0.34529475166881013,0.5928760314087245
